"State.UnionTerritory","month","Cases_type","Cases_counts","Cases_size"
"Madhya Pradesh","May","Deaths",343,0.0735105015002143
"Madhya Pradesh","Jun","Deaths",564,0.0372350960586255
"Maharashtra","Mar","Confirmed",216,0.225469728601253
"Maharashtra","Mar","Cured",39,0.361111111111111
"Maharashtra","Mar","Deaths",9,0.3
"Maharashtra","Apr","Confirmed",9915,0.368601063236552
"Maharashtra","Apr","Cured",1593,0.258436080467229
"Maharashtra","Apr","Deaths",432,0.461538461538462
"Maharashtra","May","Confirmed",65168,0.448824700234853
"Maharashtra","May","Cured",28081,0.39012767612776
"Maharashtra","May","Deaths",2197,0.470852978997
"Maharashtra","Jun","Confirmed",169883,0.393611228889646
"Maharashtra","Jun","Cured",88960,0.346111498013827
"Maharashtra","Jun","Deaths",7610,0.502409718095993
"Maharashtra","Jul","Confirmed",411798,0.347773285848565
"Maharashtra","Jul","Cured",248615,0.33313278681056
"Maharashtra","Jul","Deaths",14729,0.486523089119376
"Maharashtra","Aug","Confirmed",780689,0.309517673720085
"Maharashtra","Aug","Cured",562401,0.289720752757468
"Maharashtra","Aug","Deaths",24399,0.468059392265193
"Maharashtra","Sep","Confirmed",1366129,0.328137433847279
"Maharashtra","Sep","Cured",1069159,0.304851319405021
"Maharashtra","Sep","Deaths",36181,0.47528407224959
"Maharashtra","Oct","Confirmed",1672858,0.314288666611557
"Maharashtra","Oct","Cured",1503050,0.309715512171641
"Maharashtra","Oct","Deaths",43837,0.471340250524165
"Maharashtra","Nov","Confirmed",1820059,0.3003265367681
"Maharashtra","Nov","Cured",1680926,0.294729130952638
"Maharashtra","Nov","Deaths",47071,0.458285870062603
"Maharashtra","Dec","Confirmed",1859367,0.298921154247757
"Maharashtra","Dec","Cured",1737080,0.29429972597671
"Maharashtra","Dec","Deaths",47827,0.454970938252109
"Punjab","Mar","Deaths",3,0.1
"Rajasthan","Mar","Confirmed",74,0.0772442588726514
"Rajasthan","Apr","Confirmed",2438,0.0906353396037027
